,x,y,cell_id,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3,u,var,sd,IoD,CoV,level of impact,level of uncertainity,distance in miles,Address
19,-2.2580223,53.4213688,-4.182704147092e+18,80,0,1,1,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667,higher impacted area,least uncertainity,1.9997257515483997,"Craigmore Avenue, West Didsbury, Manchester, Greater Manchester, England, M20 2YQ, United Kingdom"
20,-2.2580277,53.4222676,-5.187000936324133e+18,38,0,1,2,0,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845,higher impacted area,highest uncertainity,2.038470938986459,"Harrison Family Vets, 751-807, Princess Road, West Didsbury, Manchester, Greater Manchester, England, M20 2ZE, United Kingdom"
21,-2.258104,53.4348514,4.541397942516936e+18,97,3,4,1,0,2.0,3.33333333333333,1.82574185835055,1.66666666666667,0.912870929175277,highest contaminated zone,highest uncertainity,2.674785517482397,"Ploughbank Drive, Arrowfield Estate, West Didsbury, Manchester, Greater Manchester, England, M21 7UB, United Kingdom"
22,-2.2581804,53.4474352,-4.2951804085455974e+18,160,0,0,1,0,0.25,0.25,0.5,1.0,2.0,slightly impacted area,highest uncertainity,3.4151380471219057,"5, Grosvenor Road, Whalley Range, Manchester, Greater Manchester, England, M16 8JP, United Kingdom"
23,-2.256588,53.433057,3.189310789920967e+18,21,0,0,0,1,0.25,0.25,0.5,1.0,2.0,slightly impacted area,highest uncertainity,2.6402235071050923,"Wintermans Road, Arrowfield Estate, West Didsbury, Manchester, Greater Manchester, England, M21 7UF, United Kingdom"
24,-2.2566368,53.4411466,-7.727797502955529e+18,73,0,0,1,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,moderately impacted area,moderate uncertainity,3.091426764386361,"2, Nettleford Road, Whalley Range, Manchester, Greater Manchester, England, M16 8NL, United Kingdom"
25,-2.2566693,53.4465396,2.2771137819337416e+18,53,0,0,1,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,moderately impacted area,moderate uncertainity,3.4099245399118625,"Manley Road, Whalley Range, Manchester, Greater Manchester, England, M16 8PN, United Kingdom"
26,-2.2566856,53.4492361,-6.539516393388987e+18,63,1,0,0,0,0.25,0.25,0.5,1.0,2.0,slightly impacted area,highest uncertainity,3.5730774005897286,"37, Stanley Road, Whalley Range, Manchester, Greater Manchester, England, M16 8HS, United Kingdom"
27,-2.2567236,53.455528,3.644611249090808e+18,76,0,1,0,0,0.25,0.25,0.5,1.0,2.0,slightly impacted area,highest uncertainity,3.9616723075583593,"1, Westerling Way, Whalley Range, Manchester, Greater Manchester, England, M16 7EA, United Kingdom"
28,-2.2567778,53.4645164,2.26023585762037e+18,113,0,0,1,0,0.25,0.25,0.5,1.0,2.0,slightly impacted area,highest uncertainity,4.531261529072255,"2, Drayton Street, Hulme, Manchester, Greater Manchester, England, M15 5LL, United Kingdom"
29,-2.097278,53.5357614,5.925223818480639e+18,137,1,0,0,0,0.25,0.25,0.5,1.0,2.0,slightly impacted area,highest uncertainity,15.625853089871226,"Iqra High School, 319, Waterloo Street, Mumps, Chadderton, Oldham, Greater Manchester, England, OL4 1ER, United Kingdom"
30,-2.2551799,53.4492393,-8.601520540072993e+17,131,1,1,1,0,0.75,0.25,0.5,0.333333333333333,0.666666666666667,higher impacted area,least uncertainity,3.622830680987405,"30, Alness Road, Whalley Range, Manchester, Greater Manchester, England, M16 8HR, United Kingdom"
31,-2.2552824,53.4663173,5.793172649282263e+18,129,1,0,0,0,0.25,0.25,0.5,1.0,2.0,slightly impacted area,highest uncertainity,4.685025474006782,"1, Hornchurch Street, Hulme, Manchester, Greater Manchester, England, M15 5HZ, United Kingdom"
32,-2.2536635,53.4474449,-7.152446989104168e+18,100,0,1,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,moderately impacted area,moderate uncertainity,3.568966436613187,"34, Manley Road, Whalley Range, Manchester, Greater Manchester, England, M16 8HN, United Kingdom"
33,-2.2537976,53.4699158,5.611864644125258e+16,104,0,0,0,1,0.25,0.25,0.5,1.0,2.0,slightly impacted area,highest uncertainity,4.9538081524390165,"St Nicholas Road, Petersfield, Hulme, Manchester, Greater Manchester, England, M15 5JD, United Kingdom"
34,-2.2521259,53.442055,4.1646751401555354e+18,102,2,1,0,3,1.5,1.66666666666667,1.29099444873581,1.11111111111111,0.86066296582387,higher impacted area,highest uncertainity,3.3200530450706056,"120, Kingsbrook Road, Whalley Range, Manchester, Greater Manchester, England, M16 8NT, United Kingdom"
35,-2.250504,53.4222837,2.47006341326678e+18,35,0,1,0,0,0.25,0.25,0.5,1.0,2.0,slightly impacted area,highest uncertainity,2.4616926895142726,"Stanton Avenue, West Didsbury, Manchester, Greater Manchester, England, M20 2PG, United Kingdom"
36,-2.2507211,53.4591361,-7.192896859666383e+17,69,0,1,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,moderately impacted area,moderate uncertainity,4.370072388160119,"Sargent Drive, Moss Side, Manchester, Greater Manchester, England, M16 7DZ, United Kingdom"
37,-2.2507582,53.465428,-8.085232327441485e+18,67,1,0,0,0,0.25,0.25,0.5,1.0,2.0,slightly impacted area,highest uncertainity,4.755775937517952,"122, Rolls Crescent, Hulme, Manchester, Greater Manchester, England, M15 5FP, United Kingdom"
38,-2.2490098,53.4240845,-8.275522262796307e+18,40,0,0,1,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,moderately impacted area,moderate uncertainity,2.6155692518948395,"Moorfield Road, West Didsbury, Manchester, Greater Manchester, England, M20 2UZ, United Kingdom"
39,-2.2490518,53.4312752,8.508474655642064e+18,125,1,1,1,3,1.5,1.0,1.0,0.666666666666667,0.666666666666667,higher impacted area,moderate uncertainity,2.914001914874146,"Montmano Drive, West Didsbury, Manchester, Greater Manchester, England, M20 2EB, United Kingdom"
40,-2.2491413,53.4465555,-4.9952853949927354e+17,70,1,0,1,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667,higher impacted area,least uncertainity,3.692520854525839,"30, Springbridge Road, Fallowfield Triangle, Moss Side, Manchester, Greater Manchester, England, M16 8PW, United Kingdom"
41,-2.2491992,53.4564428,-1.2626651513738652e+18,97,0,2,0,0,0.5,1.0,1.0,2.0,2.0,moderately impacted area,highest uncertainity,4.260149047391138,"Great Western Street, Moss Side, Manchester, Greater Manchester, England, M16 7LZ, United Kingdom"
42,-2.2475468,53.4312784,-6.467714298833766e+18,92,0,3,0,0,0.75,2.25,1.5,3.0,2.0,higher impacted area,very unlikely,2.993057860052254,"Cavendish Road, West Didsbury, Manchester, Greater Manchester, England, M20 1QJ, United Kingdom"
43,-2.2477614,53.4681308,-6.949652550291979e+18,180,0,1,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,moderately impacted area,moderate uncertainity,5.015038424507534,"Reilly Street, Hulme, Manchester, Greater Manchester, England, M15 5LE, United Kingdom"
44,-2.2461665,53.4528537,5.070807781310828e+18,99,3,0,2,0,1.25,2.25,1.5,1.8,1.2,higher impacted area,highest uncertainity,4.165731554815146,"124, Russell Street, Fallowfield Triangle, Moss Side, Manchester, Greater Manchester, England, M16 7JL, United Kingdom"
45,-2.2461769,53.4546513,-3.17466819176615e+18,43,0,2,2,1,1.25,0.916666666666667,0.957427107756338,0.733333333333333,0.765941686205071,higher impacted area,moderate uncertainity,4.2675977476269376,"196, Quinney Crescent, Fallowfield Triangle, Moss Side, Manchester, Greater Manchester, England, M16 7JT, United Kingdom"
46,-2.2445521,53.4339811,1.7694557429393293e+18,97,1,0,4,1,1.5,3.0,1.73205080756888,2.0,1.15470053837925,higher impacted area,highest uncertainity,3.2715169234601356,"Minehead Avenue, West Didsbury, Manchester, Greater Manchester, England, M20 1FP, United Kingdom"
47,-2.2446141,53.4447672,-7.576880211041446e+17,55,2,2,1,0,1.25,0.916666666666667,0.957427107756338,0.733333333333333,0.765941686205071,higher impacted area,moderate uncertainity,3.791867881825628,"William Hulme's Grammar School, Springbridge Road, Fallowfield Triangle, Moss Side, Manchester, Greater Manchester, England, M16 8PR, United Kingdom"
48,-2.2430829,53.4402761,-7.297340031951181e+18,55,1,1,2,2,1.5,0.333333333333333,0.577350269189626,0.222222222222222,0.38490017945975,higher impacted area,least uncertainity,3.6391684222140106,"Nisa, 244-246, Mauldeth Road West, Withington, Manchester, Greater Manchester, England, M20 1BE, United Kingdom"
49,-2.2431343,53.4492645,1.7445471515811558e+16,87,1,0,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,moderately impacted area,moderate uncertainity,4.094893373459335,"72, Clinton Avenue, Fallowfield Triangle, Moss Side, Manchester, Greater Manchester, England, M14 7LG, United Kingdom"
50,-2.2431805,53.457354,-9.146397060401699e+18,90,1,1,0,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,moderately impacted area,moderate uncertainity,4.538591230337094,"Westwood Street, Moss Side, Manchester, Greater Manchester, England, M14 4SP, United Kingdom"
51,-2.2432114,53.4627471,-8.584255067675725e+18,72,1,0,0,0,0.25,0.25,0.5,1.0,2.0,slightly impacted area,highest uncertainity,4.84759627126665,"Arnott Crescent, Hulme, Manchester, Greater Manchester, England, M15 6JF, United Kingdom"
52,-2.243268,53.4726343,3.4306612113396137e+18,300,1,1,1,1,1.0,0.0,0.0,0.0,0.0,higher impacted area,least uncertainity,5.434760916243759,"2a, Lower Chatham Street, Petersfield, City Centre, Manchester, Greater Manchester, England, M1 5TF, United Kingdom"
53,-2.2415265,53.4312907,-8.101132867654451e+18,58,1,0,0,0,0.25,0.25,0.5,1.0,2.0,slightly impacted area,highest uncertainity,3.3230390706412467,"Meltham Avenue, West Didsbury, Manchester, Greater Manchester, England, M20 1EE, United Kingdom"
54,-2.2415673,53.4384814,8.680781882765784e+18,75,1,0,0,0,0.25,0.25,0.5,1.0,2.0,slightly impacted area,highest uncertainity,3.63100867005394,"Rainford Avenue, West Didsbury, Manchester, Greater Manchester, England, M20 1BR, United Kingdom"
55,-2.2415826,53.441178,2.1343881451200868e+18,46,0,1,0,0,0.25,0.25,0.5,1.0,2.0,slightly impacted area,highest uncertainity,3.7569204882487686,"37, Thelwall Avenue, Fallowfield Triangle, Withington, Manchester, Greater Manchester, England, M14 7FW, United Kingdom"
56,-2.2417563,53.4717385,-8.856656228966394e+18,456,0,0,0,1,0.25,0.25,0.5,1.0,2.0,slightly impacted area,highest uncertainity,5.431496671434206,"Manchester Metropolitan University – All Saints Campus, Oxford Road, Petersfield, City Centre, Manchester, Greater Manchester, England, M1 5QA, United Kingdom"
57,-2.2417717,53.474435,-5.335441571831363e+18,361,1,1,0,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667,higher impacted area,least uncertainity,5.593409544644046,"51, Whitworth Street West, Petersfield, City Centre, Manchester, Greater Manchester, England, M1 5ED, United Kingdom"
58,-2.2400214,53.4312937,5.567086842704958e+18,51,0,1,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,moderately impacted area,moderate uncertainity,3.4084743535488933,"Sandhurst Avenue, West Didsbury, Manchester, Greater Manchester, England, M20 1ED, United Kingdom"
59,-2.240062,53.4384845,-4.5561765084225695e+18,87,1,2,0,1,1.0,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726,higher impacted area,moderate uncertainity,3.7093214178258775,"Rudheath Avenue, West Didsbury, Manchester, Greater Manchester, England, M20 1PJ, United Kingdom"
60,-2.2401178,53.4483717,-4.10353829836574e+17,91,0,1,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,moderately impacted area,moderate uncertainity,4.184288806524464,"5, Garswood Road, Fallowfield Triangle, Moss Side, Manchester, Greater Manchester, England, M14 7LL, United Kingdom"
61,-2.2401584,53.4555625,8.135992453152822e+18,219,1,0,2,3,1.5,1.66666666666667,1.29099444873581,1.11111111111111,0.86066296582387,higher impacted area,highest uncertainity,4.562933982854118,"30, Broadfield Road, Fallowfield Triangle, Moss Side, Manchester, Greater Manchester, England, M14 4JT, United Kingdom"
62,-2.2401635,53.4564613,8.928120638947926e+18,84,1,0,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,moderately impacted area,moderate uncertainity,4.611832957079338,"170, Great Western Street, Curry Mile, Moss Side, Manchester, Greater Manchester, England, M14 4AN, United Kingdom"
63,-2.2402244,53.4672474,3.7227263917975537e+18,209,1,4,0,0,1.25,3.58333333333333,1.89296944860009,2.86666666666667,1.51437555888007,higher impacted area,very unlikely,5.220514293708517,"Hopton Court, Rosamond Street West, Hulme, Manchester, Greater Manchester, England, M15 6EB, United Kingdom"
64,-2.2402549,53.4726404,-4.165283725814935e+18,391,1,0,1,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667,higher impacted area,least uncertainity,5.53732894720631,"The Quadrangle, Hulme Street, Petersfield, City Centre, Manchester, Greater Manchester, England, M1 5QG, United Kingdom"
65,-2.2402753,53.4762357,2.069696025458256e+18,68,2,2,0,0,1.0,1.33333333333333,1.15470053837925,1.33333333333333,1.15470053837925,higher impacted area,highest uncertainity,5.752231134890967,"Harter Street, Civic Quarter, City Centre, Manchester, Greater Manchester, England, M1 6HY, United Kingdom"
66,-2.2386777,53.4600597,1.5076260986163249e+18,35,1,0,0,0,0.25,0.25,0.5,1.0,2.0,slightly impacted area,highest uncertainity,4.8719965492877675,"Webster Primary School, Pencroft Way, Manchester Science Park, Moss Side, Manchester, Greater Manchester, England, M15 6JU, United Kingdom"
67,-2.2387635,53.4753399,-2.3677410570412416e+18,475,0,0,2,0,0.5,1.0,1.0,2.0,2.0,moderately impacted area,highest uncertainity,5.750232565601601,"Lancaster House, 71, Whitworth Street West, Petersfield, City Centre, Manchester, Greater Manchester, England, M1 6LQ, United Kingdom"
68,-2.2389405,53.5067991,-6.928961369993944e+18,86,0,1,0,0,0.25,0.25,0.5,1.0,2.0,slightly impacted area,highest uncertainity,7.699362696036809,"Shirley Road, Cheetham Hill, Manchester, Greater Manchester, England, M8 0WB, United Kingdom"
69,-2.2389607,53.5103944,6.869085253351552e+18,212,1,0,0,0,0.25,0.25,0.5,1.0,2.0,slightly impacted area,highest uncertainity,7.929496345504604,"Egmont Street, Cheetham Hill, Manchester, Greater Manchester, England, M8 9LY, United Kingdom"
70,-2.2390468,53.5256745,3.9823089536826414e+18,24,1,0,0,0,0.25,0.25,0.5,1.0,2.0,slightly impacted area,highest uncertainity,8.918394208418002,"Hill Crescent, Crumpsall, Manchester, Greater Manchester, England, M9 8EX, United Kingdom"
71,-2.2370564,53.4393893,-7.61365971752454e+18,98,0,1,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,moderately impacted area,moderate uncertainity,3.908431496864808,"Doncaster Avenue, West Didsbury, Manchester, Greater Manchester, England, M20 1DE, United Kingdom"
72,-2.2370614,53.4402882,5.088858815127455e+18,84,0,0,1,2,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845,higher impacted area,highest uncertainity,3.947888615397371,"Mornington Crescent, Withington, Manchester, Greater Manchester, England, M14 6DD, United Kingdom"
73,-2.2370864,53.4447824,-5.084443102995849e+18,47,1,0,0,0,0.25,0.25,0.5,1.0,2.0,slightly impacted area,highest uncertainity,4.153455326386688,"48, Rostherne Avenue, Fallowfield Triangle, Moss Side, Manchester, Greater Manchester, England, M14 7DZ, United Kingdom"
74,-2.2371566,53.4573662,5.301323720246155e+18,150,1,2,2,1,1.5,0.333333333333333,0.577350269189626,0.222222222222222,0.38490017945975,higher impacted area,least uncertainity,4.789418275448692,"71, Monton Street, Moss Side, Manchester, Greater Manchester, England, M14 4GP, United Kingdom"
75,-2.2356157,53.4510773,9.004721890016331e+18,125,0,1,0,3,1.0,2.0,1.4142135623731,2.0,1.4142135623731,higher impacted area,highest uncertainity,4.532708125796985,"Sunshine Place, Fallowfield Triangle, Moss Side, Manchester, Greater Manchester, England, M14 7TG, United Kingdom"
76,-2.2357503,53.4753459,-4.785219550146097e+18,640,1,1,1,0,0.75,0.25,0.5,0.333333333333333,0.666666666666667,higher impacted area,least uncertainity,5.8583515826122206,"Granby House, Granby Row, Petersfield, City Centre, Manchester, Greater Manchester, England, M1 7AR, United Kingdom"
77,-2.2357852,53.4816378,6.67914415248428e+18,141,1,0,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,moderately impacted area,moderate uncertainity,6.229615168712617,"The Merchants Hotel, Back Piccadilly, Northern Quarter, City Centre, Manchester, Greater Manchester, England, M1 1HP, United Kingdom"
78,-2.0807055,53.5483575,5.769312584378165e+18,70,0,1,0,0,0.25,0.25,0.5,1.0,2.0,slightly impacted area,highest uncertainity,17.063344186980096,"Ash Square, Springhead, Spring Hill, Lees, Oldham, Greater Manchester, England, OL4 2ED, United Kingdom"
79,-2.2789999,53.4078387,1.250282542332454e+17,20,3,5,7,5,5.0,2.66666666666667,1.63299316185545,0.533333333333333,0.32659863237109,highest contaminated zone,least uncertainity,0.3278183377130606,"Wythenshawe Road, Northern Moor, Manchester, Greater Manchester, England, M23 0PB, United Kingdom"
80,-2.2790235,53.4114341,1.3971966535908585e+18,47,1,0,2,3,1.5,1.66666666666667,1.29099444873581,1.11111111111111,0.86066296582387,higher impacted area,highest uncertainity,0.5657840985797341,"Newhall Drive, Northern Moor, Manchester, Greater Manchester, England, M23 0LA, United Kingdom"
81,-2.2775074,53.4096399,4.947301433501199e+18,82,19,28,17,15,19.75,32.9166666666667,5.7373048260195,1.66666666666667,0.290496446887063,highest contaminated zone,highest uncertainity,0.4839397670299027,"Carloon Road, Sale Circle, Northern Moor, Manchester, Greater Manchester, England, M23 0PE, United Kingdom"
82,-2.2760031,53.4096434,-8.820616222601541e+18,58,10,20,16,20,16.5,22.3333333333333,4.72581562625261,1.35353535353535,0.286413068257734,highest contaminated zone,highest uncertainity,0.5400160546332875,"Saint Aidan's Catholic Primary School, Rackhouse Road, Northern Moor, Manchester, Greater Manchester, England, M23 0BW, United Kingdom"
83,-2.2760206,53.4123399,5.726773707050737e+18,73,12,11,7,7,9.25,6.91666666666667,2.62995563967658,0.747747747747748,0.284319528613685,highest contaminated zone,moderate uncertainity,0.6967341688561051,"Welshpool Close, Northern Moor, Manchester, Greater Manchester, England, M23 0EH, United Kingdom"
84,-2.2744872,53.4078492,5.587628396275937e+18,46,15,12,9,16,13.0,10.0,3.16227766016838,0.769230769230769,0.24325212770526,highest contaminated zone,moderate uncertainity,0.5291881199129411,"Rackhouse Road, Northern Moor, Manchester, Greater Manchester, England, M23 0PB, United Kingdom"
85,-2.274493,53.408748,-1.541227490034445e+17,56,21,15,19,18,18.25,6.25,2.5,0.342465753424658,0.136986301369863,highest contaminated zone,least uncertainity,0.5669990635700841,"Rackhouse Road, Northern Moor, Manchester, Greater Manchester, England, M23 0PB, United Kingdom"
86,-2.2730118,53.4123469,-3.201484322756806e+18,77,17,11,10,14,13.0,10.0,3.16227766016838,0.769230769230769,0.24325212770526,highest contaminated zone,moderate uncertainity,0.8153454624591633,"Cringlewood Club, Yewtree Lane, Northenden, Manchester, Greater Manchester, England, M23 0DU, United Kingdom"
87,-2.2715074,53.4123503,-2.9138053306744724e+18,69,9,13,8,7,9.25,6.91666666666667,2.62995563967658,0.747747747747748,0.284319528613685,highest contaminated zone,moderate uncertainity,0.8870557480138244,"Barry Road, Northenden, Manchester, Greater Manchester, England, M23 0FH, United Kingdom"
88,-2.270003,53.4123537,8.28959597842336e+18,49,3,7,4,7,5.25,4.25,2.06155281280883,0.80952380952381,0.392676726249301,highest contaminated zone,moderate uncertainity,0.9646535420957864,"Barry Road, Northenden, Manchester, Greater Manchester, England, M23 0FH, United Kingdom"
89,-2.2685836,53.4258398,2.388967691014492e+18,77,2,1,1,2,1.5,0.333333333333333,0.577350269189626,0.222222222222222,0.38490017945975,higher impacted area,least uncertainity,1.7609584115429862,"Godbert Avenue, Manchester, Greater Manchester, England, M21 7JH, United Kingdom"
90,-2.268595,53.4276374,-6.879806262695526e+18,34,1,2,0,0,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845,higher impacted area,highest uncertainity,1.8706228273485672,"Darley Avenue, Chorlton-cum-Hardy, Manchester, Greater Manchester, England, M21 7JH, United Kingdom"
91,-2.265473,53.4096673,-5.106175553059e+18,39,1,0,0,0,0.25,0.25,0.5,1.0,2.0,slightly impacted area,highest uncertainity,1.139511941246994,"Homewood Road, Northenden, Manchester, Greater Manchester, England, M22 4DN, United Kingdom"
92,-2.2655515,53.4222511,2.569002052646554e+18,70,0,8,3,4,3.75,10.9166666666667,3.30403793359983,2.91111111111111,0.881076782293289,highest contaminated zone,very unlikely,1.6706813714885465,"Caldervale Avenue, West Didsbury, Manchester, Greater Manchester, England, M21 7PA, United Kingdom"
93,-2.2639798,53.4114683,3.9188308313373486e+18,32,0,1,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,moderately impacted area,moderate uncertainity,1.2843190451772917,"Piperhill Avenue, Northenden, Manchester, Greater Manchester, England, M22 4DZ, United Kingdom"
94,-2.2641248,53.4348382,6.42595021640286e+17,49,1,0,0,0,0.25,0.25,0.5,1.0,2.0,slightly impacted area,highest uncertainity,2.454057612684338,"Mauldeth Road West, Chorlton-cum-Hardy, Manchester, Greater Manchester, England, M21 7SP, United Kingdom"
95,-2.2625475,53.4231566,4.620571431220991e+18,172,7,10,7,8,8.0,2.0,1.4142135623731,0.25,0.176776695296637,highest contaminated zone,least uncertainity,1.8537262382389597,"Merseybank Avenue, West Didsbury, Manchester, Greater Manchester, England, M21 7NS, United Kingdom"
96,-2.2626529,53.4402346,8.216016024094227e+18,85,0,0,0,1,0.25,0.25,0.5,1.0,2.0,slightly impacted area,highest uncertainity,2.832178285956732,"43, Vaughan Road, Whalley Range, Manchester, Greater Manchester, England, M21 0YL, United Kingdom"
97,-2.262775,53.4600091,3.2443578004074327e+18,211,0,1,0,0,0.25,0.25,0.5,1.0,2.0,slightly impacted area,highest uncertainity,4.099229558395758,"1, Byrom Street, Old Trafford, Trafford, Greater Manchester, England, M16 9LP, United Kingdom"
